index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color_code	hindi_meaning	hindi_meaning_active
13.1	नः		नः	अस्मद्{सर्वनाम;2;बहु}/अस्मद्{सर्वनाम;6;बहु}/अस्मद्{सर्वनाम;4;बहु}/नृ{पुं;8;एक}	अस्मद्{सर्वनाम;6;बहु}	षष्ठीसम्बन्धः,14.1	प्रयोजनम्1,21.1#प्रयोजनम्1,16.1#षष्ठीसम्बन्धः,18.1#षष्ठीसम्बन्धः,17.1#षष्ठीसम्बन्धः,16.1#षष्ठीसम्बन्धः,15.1#षष्ठीसम्बन्धः,14.1#षष्ठीसम्बन्धः,11.2#षष्ठीसम्बन्धः,7.1#षष्ठीसम्बन्धः,5.1	N6	हमारे	हमारे
14.1	बान्धवाः		बान्धवाः	बान्धव{पुं;1;बहु}/बान्धव{पुं;8;बहु}	बान्धव{पुं;1;बहु}	कर्ता,16.1	कर्ता_बे_वेर्ब्स्,16.1	N1	बान्धव	बान्धव
15.1	परिक्षीणाः		परिक्षीणाः	परिक्षीणा{स्त्री;1;बहु}/परिक्षीणा{स्त्री;2;बहु}/परिक्षाणा{पुं;1;बहु}	परिक्षाणा{पुं;1;बहु}	विधेय_विशेषणम्,14.1	विधेय_विशेषणम्,14.1#कर्ता_बे_वेर्ब्स्,16.1	N1	परिक्षीणे	परिक्षीणे
16.1	(सन्ति)		सन्ति	अस्2{कर्तरि;लट्;प्र;बहु;परस्मैपदी;अदादिः}/सत्{नपुं;8;बहु}/सत्{नपुं;1;बहु(अस्2;शतृ_लट्;अदादिः)}/सत्{नपुं;2;बहु(अस्2;शतृ_लट्;अदादिः)}	अस्2{कर्तरि;लट्;प्र;बहु;परस्मैपदी;अदादिः}	अभिहित_कर्ता,14.1	विशेषणम्,17.1#विशेषणम्,13.1	KP	हैं	हैं
17.1	नः		नः	अस्मद्{सर्वनाम;2;बहु}/अस्मद्{सर्वनाम;6;बहु}/अस्मद्{सर्वनाम;4;बहु}/नृ{पुं;8;एक}	अस्मद्{सर्वनाम;6;बहु}	षष्ठीसम्बन्धः,18.1	उपमानम्,16.1#प्रयोजनम्1,21.1#षष्ठीसम्बन्धः,18.1#षष्ठीसम्बन्धः,15.1#षष्ठीसम्बन्धः,14.1#षष्ठीसम्बन्धः,11.2#षष्ठीसम्बन्धः,7.1#षष्ठीसम्बन्धः,5.1	N6	हमारा	हमारा
18.1	बलम्		बलम्	बल{नपुं;1;एक}/बल{नपुं;2;एक}	बल{नपुं;1;एक}	कर्ता,21.1	उपमानम्,17.1#कर्ता_बे_वेर्ब्स्,21.1	N1	बल	बल
19.1	पुरा		पुरा	पुरा{अव्य}	पुरा{अव्य}	कालाधिकरणम्,21.1	कालाधिकरणम्,21.1	NA	पहले	पहले
20.1	यथा		यथा	यथा{अव्य}	यथा{अव्य}	उपमान_द्योतकः,21.1;नित्य_सम्बन्धः,22.1	उपमान_द्योतकः,21.1#नित्य_सम्बन्धः,22.1#क्रियाविशेषणम्,21.1	NA	जैसे	जैसे
21.1	(आसीत्)		आसीत्	अस्2{कर्तरि;लङ्;प्र;एक;परस्मैपदी;अदादिः}	अस्2{कर्तरि;लङ्;प्र;एक;परस्मैपदी;अदादिः}	-	उपमानम्,16.1	KP	था	था
22.1	तथा		तथा	तथा{अव्य}	तथा{अव्य}	क्रियाविशेषणम्,24.1	क्रियाविशेषणम्,24.1	NA	और	और
23.1	न		न	न{अव्य}	न{अव्य}	प्रतिषेधः,24.1	प्रतिषेधः,24.1	NA	नहीं	नहीं
24.1	(अस्ति)		अस्ति	अस्2{कर्तरि;लट्;प्र;एक;परस्मैपदी;अदादिः}	अस्2{कर्तरि;लट्;प्र;एक;परस्मैपदी;अदादिः}	-	उपमानम्,16.1	KP	है	है
25.1	(अधुना)		अधुना	अधुना{अव्य}	अधुना{अव्य}	कालाधिकरणम्,24.1	कालाधिकरणम्,24.1	NA	अब	अब
26.1	.		.	-	-	-	-	FS	-	-
